"Gene"	"Ctrl_A"	"Ctrl_B"	"Ctrl_C"	"Stim_A"	"Stim_B"	"Stim_C"
"Csrnp1"	8	12	18	21	8	15
"Csrnp2"	16	1	4	11	3	12
"Csrnp3"	1	0	2	1	24	3
"Csrp1"	264	102	68	246	85	40
"Csrp2"	526	508	253	558	405	173
"Csrp2bp"	100	75	81	96	79	47
"Csrp3"	0	0	0	0	6	0
"Cst10"	0	0	0	0	0	2
"Cst11"	0	0	0	0	0	0
"Cst12"	0	0	0	0	0	0
"Cst13"	0	0	0	0	0	0
"Cst3"	1320	926	149	988	602	88
"Cst6"	93	57	7	59	34	5
"Cst7"	1	5	4	0	0	2
"Cst8"	0	0	0	0	0	0
"Cst9"	0	0	0	0	0	0
"Csta"	22	4	4	4	4	0
"Cstad"	1	0	0	1	3	0
"Cstb"	347	555	285	347	377	211
"Cstf1"	247	232	193	267	114	168
"Cstf2"	44	38	6	46	30	7
"Cstf2t"	53	19	50	76	27	43
"Cstf3"	241	371	218	217	274	216
"Cstl1"	0	0	0	0	0	0
"Ctag2"	0	0	0	0	0	0
"Ctage5"	375	355	472	260	358	419
"Ctbp1"	3466	1663	32	2953	1979	730
"Ctbp2"	344	187	266	429	246	280
"Ctbs"	15	33	24	9	51	42
"Ctc1"	353	283	433	228	333	282
"Ctcf"	85	121	119	111	114	121
"Ctcfl"	0	0	0	0	0	0
"Ctdnep1"	377	434	159	397	521	165
"Ctdp1"	147	89	40	157	98	65
"Ctdsp1"	85	15	10	55	5	5
"Ctdsp2"	51	28	34	18	43	41
"Ctdspl"	24	4	15	21	8	15
"Ctdspl2"	0	1	21	3	23	3
"Ctf1"	7	6	1	12	3	1
"Ctf2"	0	0	2	0	5	0
"Ctgf"	26	67	243	27	90	190
"Cth"	44	108	106	61	74	67
"Cthrc1"	80	116	26	128	112	31
"Ctif"	2	1	0	0	1	0
"Ctla2a"	4	20	53	14	13	19
"Ctla2b"	0	14	1	0	0	9
"Ctla4"	0	0	0	0	0	0
"Ctnna1"	820	768	1256	1047	738	888
"Ctnna2"	19	20	88	28	15	82
"Ctnna3"	0	0	0	3	0	0
"Ctnnal1"	51	32	64	60	30	73
"Ctnnb1"	2306	1608	3818	2643	1942	2809
"Ctnnbip1"	16	16	4	11	8	8
"Ctnnbl1"	250	325	249	264	310	147
"Ctnnd1"	8	6	30	8	20	25
"Ctnnd2"	24	44	43	79	66	39
"Ctns"	23	2	11	3	2	3
"Ctps"	140	109	141	141	92	133
"Ctps2"	301	325	384	264	379	391
"Ctr9"	80	70	141	122	80	106
"Ctrb1"	0	0	0	0	0	0
"Ctrc"	1	0	0	0	0	0
"Ctrl"	0	0	4	1	0	0
"Cts3"	0	0	1	0	0	0
"Cts6"	0	0	0	0	0	0
"Cts7"	0	0	0	0	0	0
"Cts8"	0	0	0	0	0	0
"Cts8-ps"	0	0	0	0	0	0
"Ctsa"	653	655	667	643	877	599
"Ctsb"	591	1191	963	593	1478	589
"Ctsc"	166	156	201	155	207	196
"Ctsd"	1354	948	1273	1314	1017	732
"Ctse"	5	72	17	1	121	42
"Ctsf"	118	104	86	101	83	53
"Ctsg"	1	7	0	6	4	0
"Ctsh"	280	226	136	232	203	122
"Ctsj"	0	0	0	0	0	0
"Ctsk"	740	1414	1348	1052	1775	1041
"Ctsl"	1188	1568	1595	1082	1463	1243
"Ctsll3"	0	0	0	0	0	0
"Ctsm"	0	0	0	0	0	0
"Ctso"	27	19	33	33	5	46
"Ctsq"	0	0	0	0	0	0
"Ctsr"	0	0	0	0	0	0
"Ctss"	245	327	262	188	319	318
"Ctsw"	9	4	1	9	1	2
"Ctsz"	718	362	388	524	570	336
"Cttn"	186	138	119	247	173	93
"Cttnbp2"	39	58	180	87	28	208
"Cttnbp2nl"	4	2	11	9	3	8
"Ctu1"	55	11	20	42	17	8
"Ctu2"	272	76	25	164	104	46
"Ctxn1"	962	108	26	1279	138	57
"Ctxn2"	2	3	0	0	0	0
"Ctxn3"	912	2500	1587	1339	4073	2323
"Cubn"	14	18	62	26	41	44
"Cuedc1"	4	0	3	8	2	0
"Cuedc2"	200	202	105	263	169	101
"Cul1"	554	516	789	635	512	680
"Cul2"	139	170	252	185	165	265
"Cul3"	745	1283	1771	778	1862	1896
"Cul4a"	142	141	173	160	278	169
"Cul4b"	29	109	25	38	108	176
"Cul5"	55	33	10	49	54	58
"Cul7"	249	77	462	245	115	251
"Cul9"	121	109	40	207	64	71
"Cuta"	1072	1347	248	667	1103	277
"Cutc"	89	170	89	104	85	71
"Cux1"	421	241	127	384	238	118
"Cux2"	21	3	1	7	2	0
"Cuzd1"	0	0	0	0	0	0
"Cwc15"	691	1496	806	701	1340	759
"Cwc22"	146	168	321	145	222	281
"Cwc25"	3	7	4	4	1	4
"Cwc27"	82	134	101	100	103	107
"Cwf19l1"	39	41	86	66	65	52
"Cwf19l2"	16	35	50	10	47	106
"Cwh43"	166	101	165	53	182	120
"Cx3cl1"	13	0	2	5	7	2
"Cx3cr1"	0	6	5	0	1	0
"Cxadr"	66	44	83	52	99	42
"Cxcl1"	0	1	0	1	2	0
"Cxcl10"	1	6	0	3	1	10
"Cxcl11"	0	1	0	0	0	0
"Cxcl12"	33	9	6	62	4	18
"Cxcl13"	0	6	0	0	2	0
"Cxcl14"	3	2	2	0	0	0
"Cxcl16"	73	69	58	73	40	40
"Cxcl17"	195	164	84	129	136	100
"Cxcl2"	0	0	1	0	0	0
"Cxcl3"	0	0	0	1	0	0
"Cxcl5"	17	31	67	20	25	52
"Cxcl9"	1	0	0	1	0	0
"Cxcr1"	0	0	0	0	0	0
"Cxcr2"	1	12	2	0	3	9
"Cxcr3"	0	0	0	0	10	6
"Cxcr4"	16	21	36	19	14	28
"Cxcr5"	0	0	0	0	0	1
"Cxcr6"	0	4	3	0	0	1
"Cxcr7"	51	34	0	42	47	0
"Cxx1a"	211	0	1	192	1	0
"Cxx1b"	211	0	1	192	1	0
"Cxx1c"	44	14	9	26	13	10
"Cxxc1"	707	628	548	572	811	691
"Cxxc4"	7	13	2	1	9	6
"Cxxc5"	124	88	29	80	95	30
"Cyb5"	4193	4436	2999	3374	3528	2493
"Cyb561"	176	56	70	140	85	45
"Cyb561a3"	73	49	59	48	51	41
"Cyb561d1"	9	6	4	7	4	4
"Cyb561d2"	157	118	71	141	93	72
"Cyb5b"	62	90	7	47	51	10
"Cyb5d1"	6	6	4	5	0	0
"Cyb5d2"	27	33	16	26	42	10
"Cyb5r1"	289	325	327	343	364	402
"Cyb5r2"	4	7	7	9	10	2
"Cyb5r3"	273	265	61	302	271	47
"Cyb5r4"	211	786	348	240	881	542
"Cyb5rl"	32	36	25	48	45	42
"Cyba"	107	117	80	98	93	67
"Cybb"	0	0	5	3	2	0
"Cybrd1"	0	19	8	10	13	1
"Cyc1"	1210	656	217	1036	577	269
"Cycs"	1047	1496	796	1035	1208	809
"Cyct"	0	0	0	0	0	0
"Cyfip1"	318	287	695	307	209	387
"Cyfip2"	277	154	108	243	171	137
"Cygb"	8	8	13	27	7	6
"Cyhr1"	469	542	450	327	573	364
"Cylc1"	0	5	0	0	0	0
"Cylc2"	0	0	0	0	0	0
"Cyld"	107	118	151	51	121	172
"Cym"	0	2	2	8	0	16
"Cyp11a1"	0	0	1	0	0	1
"Cyp11b1"	0	0	0	0	0	0
"Cyp11b2"	0	0	0	0	0	0
"Cyp17a1"	0	1	1	1	3	0
"Cyp19a1"	3	2	3	0	6	2
"Cyp1a1"	430	569	647	424	517	463
"Cyp1a2"	7795	9215	6681	8419	8630	4376
"Cyp1b1"	0	2	3	4	0	0
"Cyp20a1"	155	132	85	148	106	87
"Cyp21a1"	0	0	2	0	0	0
"Cyp24a1"	0	0	0	0	0	0
"Cyp26a1"	9	0	3	13	0	5
"Cyp26b1"	0	0	0	0	0	0
"Cyp26c1"	0	0	0	0	0	0
"Cyp27a1"	224	241	403	220	237	237
"Cyp27b1"	0	0	2	0	9	0
"Cyp2a12"	1	6	5	9	3	0
"Cyp2a22"	1	6	0	0	0	0
"Cyp2a4"	76	134	0	5	0	97
"Cyp2a5"	48733	46914	33854	48837	43984	31700
"Cyp2ab1"	0	0	0	0	0	0
"Cyp2b10"	368	153	192	294	301	160
"Cyp2b13"	16	14	21	1	21	12
"Cyp2b19"	13	13	15	11	20	23
"Cyp2b23"	0	0	0	1	0	0
"Cyp2b9"	0	0	0	3	1	0
"Cyp2c29"	0	0	0	0	0	0
"Cyp2c37"	0	0	0	0	0	0
"Cyp2c38"	0	0	0	0	0	0
"Cyp2c39"	0	0	0	0	0	0
"Cyp2c40"	0	0	0	0	0	0
"Cyp2c44"	15	8	10	25	37	27
"Cyp2c50"	0	0	0	0	0	0
"Cyp2c53-ps"	0	0	0	0	0	0
"Cyp2c54"	0	0	0	0	0	0
"Cyp2c55"	0	0	1	0	0	0
"Cyp2c65"	0	0	11	0	2	1
"Cyp2c66"	0	0	0	0	2	1
"Cyp2c67"	0	0	0	0	0	0
"Cyp2c68"	0	0	0	0	0	0
"Cyp2c69"	0	0	0	0	0	0
"Cyp2c70"	0	0	3	0	0	0
"Cyp2d10"	0	0	0	0	0	0
"Cyp2d11"	0	0	0	0	0	0
"Cyp2d12"	0	0	0	0	0	0
"Cyp2d13"	0	0	0	0	0	0
"Cyp2d22"	30	42	52	24	22	32
"Cyp2d26"	0	0	3	0	0	2
"Cyp2d34"	0	0	0	0	0	0
"Cyp2d37-ps"	0	0	0	0	0	0
"Cyp2d40"	0	0	0	0	0	7
"Cyp2d9"	0	0	0	0	0	0
"Cyp2e1"	426	398	934	492	346	699
"Cyp2f2"	24076	23582	17929	25235	25777	12406
"Cyp2g1"	9770	7133	8828	10237	11601	7394
"Cyp2j11"	0	0	0	0	0	0
"Cyp2j12"	19	87	43	26	71	59
"Cyp2j13"	0	0	0	0	0	0
"Cyp2j5"	0	0	0	0	0	0
"Cyp2j6"	257	399	349	286	447	310
"Cyp2j8"	3	8	2	0	0	0
"Cyp2j9"	34	47	76	43	28	66
"Cyp2r1"	0	0	2	2	8	0
"Cyp2s1"	60	17	17	58	24	19
"Cyp2t4"	0	0	3	1	6	1
"Cyp2u1"	11	23	17	36	28	12
"Cyp2w1"	0	0	0	0	0	0
"Cyp39a1"	0	1	10	9	11	4
"Cyp3a11"	0	0	0	0	0	0
"Cyp3a13"	292	609	343	277	534	516
"Cyp3a16"	0	0	0	0	0	0
"Cyp3a25"	0	0	0	0	0	0
"Cyp3a41a"	0	0	0	0	0	0
"Cyp3a41b"	0	0	0	0	0	0
"Cyp3a44"	0	0	0	0	0	0
"Cyp3a57"	0	0	4	6	2	9
"Cyp3a59"	0	0	0	0	0	0
"Cyp46a1"	0	5	0	8	6	0
"Cyp4a10"	0	0	0	0	0	0
"Cyp4a12a"	7	15	0	0	7	8
"Cyp4a12b"	606	621	727	635	753	502
"Cyp4a14"	0	0	0	0	0	0
"Cyp4a29-ps"	0	0	0	0	0	0
"Cyp4a30b-ps"	0	0	0	0	0	0
"Cyp4a31"	0	0	0	0	0	0
"Cyp4a32"	2	0	2	0	0	0
"Cyp4b1"	156	217	239	225	169	174
"Cyp4f13"	105	14	2	165	15	4
"Cyp4f14"	1	0	0	3	0	0
"Cyp4f15"	62	2	0	105	12	0
"Cyp4f16"	23	42	17	50	33	55
"Cyp4f17"	3	0	2	18	0	5
"Cyp4f18"	12	14	0	11	22	4
"Cyp4f39"	21	10	7	5	11	8
"Cyp4f40"	6	8	0	24	26	0
"Cyp4f41-ps"	0	0	1	0	0	1
"Cyp4v3"	105	150	275	125	155	165
"Cyp4x1"	0	0	2	0	0	0
"Cyp51"	86	123	106	91	122	104
"Cyp7a1"	0	0	0	0	0	0
"Cyp7b1"	24	41	38	34	22	32
"Cyp8b1"	0	0	0	0	0	0
"Cypt1"	0	0	0	0	0	0
"Cypt10"	0	0	0	0	0	0
"Cypt12"	0	0	0	0	0	0
"Cypt14"	0	0	0	0	0	0
"Cypt15"	0	0	0	0	0	0
"Cypt2"	0	0	0	0	0	0
"Cypt3"	0	0	0	0	0	0
"Cypt4"	0	0	0	0	0	0
"Cypt7"	0	0	0	0	0	0
"Cypt8"	0	0	0	0	0	0
"Cypt9"	0	0	0	0	0	0
"Cyr61"	58	48	78	22	56	38
"Cys1"	11	7	1	6	2	1
"Cysltr1"	8	5	7	9	15	18
"Cysltr2"	0	0	0	0	4	1
"Cystm1"	2373	1955	754	2399	1965	705
"Cyth1"	0	0	2	3	0	0
"Cyth2"	742	1346	874	795	1505	700
"Cyth3"	9	0	0	4	0	3
"Cyth4"	2	0	2	2	1	1
"Cytip"	15	33	28	39	29	26
"Cytl1"	115	1	15	44	31	5
"Cyyr1"	0	0	0	0	0	0
"D030018L15Rik"	9	8	7	7	9	9
"D030024E09Rik"	0	0	0	0	0	0
"D030025E07Rik"	0	0	0	0	0	0
"D030025P21Rik"	18	46	9	50	81	17
"D030028A08Rik"	0	17	12	0	4	18
"D030040B21Rik"	0	2	0	0	0	0
"D030045P18Rik"	0	8	2	0	1	6
"D030047H15Rik"	0	0	0	4	0	0
"D030056L22Rik"	12	33	13	19	52	24
"D10Bwg1379e"	12	0	21	17	8	18
"D10Jhu81e"	422	273	163	451	203	128
"D10Wsu102e"	9	21	2	9	5	4
"D10Wsu52e"	776	725	592	663	711	463
"D11Wsu47e"	266	243	270	262	186	182
"D130009I18Rik"	0	0	0	0	0	0
"D130017N08Rik"	0	15	5	17	16	21
"D130020L05Rik"	13	43	9	22	37	23
"D130040H23Rik"	0	12	0	3	13	10
"D130043K22Rik"	4	1	4	22	0	3
"D130058E03"	0	0	0	0	0	0
"D14Abb1e"	21	40	39	41	66	75
"D15Ertd621e"	14	7	7	17	6	5
"D16Ertd472e"	14	7	11	9	13	14
"D16Ertd519e"	0	0	0	0	0	0
"D17Ertd648e"	0	0	0	0	0	0
"D17H6S53E"	0	4	0	0	0	1
"D17Wsu104e"	82	59	12	51	53	9
"D17Wsu92e"	21	10	11	29	15	20
"D19Bwg1357e"	290	414	420	324	474	356
"D19Ertd737e"	106	237	136	114	243	143
"D1Ertd622e"	74	80	49	66	84	49
"D1Pas1"	6	0	1	1	2	1
"D230025D16Rik"	86	20	44	62	29	33
"D230030E09Rik"	0	3	0	0	0	0
"D2hgdh"	34	12	34	42	14	18
"D2Wsu81e"	224	101	105	196	121	49
"D330022K07Rik"	0	0	0	0	0	2
"D330023K18Rik"	15	29	16	17	15	16
"D330041H03Rik"	1	0	0	0	0	1
"D330045A20Rik"	3	4	4	0	8	7
"D330050G23Rik"	1	6	6	5	7	10
"D330050I16Rik"	27	55	30	28	35	30
"D3Bwg0562e"	14	0	6	2	3	0
"D3Ertd254e"	22	18	20	24	47	43
"D3Ertd751e"	2	2	3	5	5	8
"D430019H16Rik"	1	3	0	4	1	3
"D430020J02Rik"	0	0	1	0	1	1
"D430036J16Rik"	45	159	94	61	132	113
"D430041D05Rik"	4	1	4	6	1	3
"D430042O09Rik"	134	74	221	165	121	104
"D4Ertd617e"	7	5	10	2	1	6
"D4Wsu53e"	303	287	595	316	200	1150
"D530049I02Rik"	0	0	0	0	0	1
"D5Ertd577e"	0	0	0	0	0	0
"D5Ertd579e"	68	11	13	19	8	15
"D5Ertd605e"	0	3	0	1	3	1
"D630003M21Rik"	23	5	7	7	8	3
"D630010B17Rik"	1	3	0	0	1	0
"D630013N20Rik"	0	0	0	0	0	0
"D630023F18Rik"	0	2	3	0	5	3
"D630024D03Rik"	16	9	7	13	10	7
"D630029K05Rik"	0	0	0	5	0	2
"D630032N06Rik"	4	4	0	2	0	2
"D630033O11Rik"	0	1	0	1	0	0
"D630037F22Rik"	6	2	13	12	9	9
"D630039A03Rik"	1	0	1	1	3	0
"D630041G03Rik"	3	7	15	6	32	19
"D630045J12Rik"	7	3	0	25	1	0
"D630045M09Rik"	0	0	0	0	0	0
"D6Ertd474e"	0	0	3	0	0	2
"D6Ertd527e"	0	2	0	0	0	0
"D6Wsu163e"	64	138	266	75	160	90
"D730001G18Rik"	0	0	0	0	0	0
"D730005E14Rik"	103	138	85	160	82	66
"D730039F16Rik"	6	8	2	3	0	6
"D730045A05Rik"	1	15	5	14	25	27
"D730048I06Rik"	0	0	0	0	0	0
"D730050B12Rik"	0	0	0	0	0	0
"D7Ertd143e"	0	0	0	0	0	0
"D7Ertd443e"	0	0	1	0	0	1
"D7Ertd715e"	0	7	1	0	2	19
"D830005E20Rik"	0	0	0	0	0	0
"D830013O20Rik"	0	0	0	0	0	0
"D830015G02Rik"	0	0	0	0	0	0
"D830026I12Rik"	6	5	31	6	13	37
"D830030K20Rik"	3	0	0	1	1	2
"D830031N03Rik"	0	0	0	0	0	0
"D830032E09Rik"	0	0	0	0	0	0
"D830046C22Rik"	0	0	0	1	8	2
"D8Ertd738e"	383	154	20	288	145	30
"D8Ertd82e"	55	52	14	118	48	9
"D930007P13Rik"	4	1	2	1	0	5
"D930015E06Rik"	143	138	234	133	135	162
"D930015M05Rik"	2	0	0	0	0	0
"D930016D06Rik"	138	95	383	142	179	561
"D930020B18Rik"	168	95	153	213	155	200
"D930028M14Rik"	9	5	1	7	4	2
"D930032P07Rik"	0	0	0	6	0	0
"D930048N14Rik"	68	40	4	59	13	65
"Daam1"	5	7	11	0	0	4
"Daam2"	3	6	8	5	0	4
"Dab1"	4	0	0	10	3	0
"Dab2"	178	135	197	211	127	102
"Dab2ip"	2	1	4	6	0	1
"Dach1"	0	0	0	0	0	4
"Dach2"	3	0	0	1	0	0
"Dact1"	38	78	36	16	66	50
"Dact2"	29	1	1	35	4	0
"Dact3"	0	5	3	13	2	7
"Dad1"	1032	1004	481	706	861	390
"Daf2"	0	2	6	3	6	11
"Dag1"	42	4	2	15	4	2
"Dagla"	0	0	0	0	0	0
"Daglb"	54	33	39	48	54	41
"Dak"	94	49	25	73	74	27
"Dalrd3"	1457	1244	1078	1675	1452	793
"Dancr"	49	37	20	41	41	31
"Dand5"	22	12	21	33	16	18
"Dao"	0	0	0	0	0	0
"Dap"	349	265	55	279	267	55
"Dap3"	293	502	385	328	403	314
"Dapk1"	171	80	148	163	79	138
"Dapk2"	135	132	98	144	112	56
"Dapk3"	34	21	5	22	42	23
"Dapl1"	54	76	30	52	46	24
"Dapp1"	30	29	19	28	31	23
"Darc"	76	47	131	16	33	96
"Dars"	327	598	562	389	499	524
"Dars2"	89	68	124	82	118	159
"Daw1"	45	42	52	22	35	49
"Daxx"	351	318	254	402	413	234
"Dazap1"	150	10	1	223	10	2
"Dazap2"	866	598	366	920	840	272
"Dazl"	2	0	0	0	0	1
"Dbc1"	67	17	38	13	27	21
"Dbf4"	60	233	278	84	333	209
"Dbh"	0	5	0	0	1	0
"Dbi"	393	436	199	251	237	190
"Dbil5"	1	2	0	1	3	0
"Dbn1"	1264	232	3	1122	317	6
"Dbndd1"	80	49	42	66	58	25
"Dbndd2"	606	892	335	744	843	263
"Dbnl"	245	146	87	262	216	83
"Dbp"	413	300	160	243	197	152
"Dbpht2"	0	0	0	0	0	2
"Dbr1"	136	166	220	152	155	166
"Dbt"	35	10	30	41	2	29
"Dbx1"	0	0	0	2	0	0
"Dbx2"	1	0	4	3	9	3
"Dcaf10"	113	152	98	92	211	122
"Dcaf11"	3571	4139	3714	3764	4797	3371
"Dcaf12"	248	425	244	277	472	182
"Dcaf12l1"	0	6	0	20	11	11
"Dcaf12l2"	0	0	0	0	0	0
"Dcaf13"	291	282	412	261	312	272
"Dcaf15"	142	111	118	154	203	109
"Dcaf17"	35	39	103	41	82	132
"Dcaf4"	257	158	175	213	152	173
"Dcaf5"	207	131	76	133	65	74
"Dcaf6"	250	444	411	223	418	354
"Dcaf7"	181	137	87	225	162	49
"Dcaf8"	219	174	226	195	227	98
"Dcakd"	103	207	7	99	154	19
"Dcbld1"	23	2	36	17	31	9
"Dcbld2"	4	12	4	1	4	26
"Dcc"	8	0	2	1	0	1
"Dcdc2a"	555	948	590	788	1191	550
"Dcdc2b"	161	147	95	133	117	90
"Dcdc2c"	0	0	0	0	0	0
"Dchs1"	57	15	25	22	24	37
"Dck"	22	5	10	45	5	11
"Dclk1"	27	9	23	22	15	19
"Dclk2"	98	75	3	89	79	1
"Dclk3"	242	323	252	304	338	208
"Dclre1a"	107	121	177	110	149	168
"Dclre1b"	76	89	54	55	93	21
"Dclre1c"	35	5	37	30	33	48
"Dcn"	895	1313	2177	1151	1181	1696
"Dcp1a"	1	0	0	0	0	0
"Dcp1b"	255	303	120	261	348	166
"Dcp2"	6	1	6	3	1	2
"Dcpp1"	46	286	22	47	224	57
"Dcpp2"	35	63	33	18	22	14
"Dcpp3"	292	936	212	445	671	194
"Dcps"	157	176	151	128	161	110
"Dcst1"	11	54	8	21	56	8
"Dcstamp"	5	21	25	12	69	56
"Dct"	0	4	0	9	0	0
"Dctd"	118	40	75	110	88	46
"Dctn1"	1587	493	316	1373	543	350
"Dctn2"	1161	1151	907	1339	1227	648
"Dctn3"	483	744	246	499	651	285
"Dctn4"	72	47	135	117	86	54
"Dctn5"	72	122	82	44	123	54
"Dctn6"	430	797	512	436	805	486
"Dctpp1"	105	151	50	104	95	53
"Dcun1d1"	29	34	43	26	33	52
"Dcun1d2"	6	0	0	2	0	1
"Dcun1d3"	3	8	3	16	6	1
"Dcun1d4"	0	2	0	5	0	2
"Dcun1d5"	74	295	96	84	239	211
"Dcx"	3	20	11	14	0	0
"Dcxr"	1386	285	127	1163	289	74
"Dda1"	65	23	0	60	19	0
"Ddah1"	9	5	1	0	0	0
"Ddah2"	1017	1369	76	1038	1152	247
"Ddb1"	579	252	401	526	212	267
"Ddb2"	110	98	177	110	118	179
"Ddc"	7	3	3	6	0	8
"Ddhd1"	84	99	128	59	84	138
"Ddhd2"	9	14	9	3	10	6
"Ddi1"	0	0	0	0	0	0
"Ddi2"	3	0	3	10	2	2
"Ddit3"	704	1149	727	649	1144	657
"Ddit4"	35	18	1	24	26	0
"Ddit4l"	35	30	13	20	9	16
"Ddn"	0	0	0	0	0	0
"Ddo"	49	13	13	44	16	12
"Ddost"	1155	596	650	925	747	408
"Ddr1"	65	52	6	67	39	10
"Ddr2"	23	7	1	17	11	6
"Ddrgk1"	823	545	213	685	701	246
"Ddt"	290	343	215	257	227	160
"Ddx1"	595	770	855	677	876	698
"Ddx10"	111	95	189	104	108	209
"Ddx11"	10	9	18	8	4	7
"Ddx17"	50	12	93	9	24	49
"Ddx18"	309	365	397	263	287	267
"Ddx19a"	47	15	14	20	22	27
"Ddx19b"	29	42	30	33	45	10
"Ddx20"	220	177	279	170	313	289
"Ddx21"	251	73	127	203	117	113
"Ddx23"	37	70	2	27	73	0
"Ddx24"	855	787	1153	818	895	945
"Ddx25"	29	8	9	9	6	12
"Ddx26b"	63	86	430	60	75	673
"Ddx27"	177	164	115	153	161	102
"Ddx28"	147	152	148	98	165	124
"Ddx31"	51	3	27	26	23	24
"Ddx39"	591	575	489	615	577	355
"Ddx39b"	1740	2141	1387	1703	1837	1097
"Ddx3x"	147	74	222	169	103	157
"Ddx3y"	9	0	0	12	0	0
"Ddx4"	0	6	2	4	0	7
"Ddx41"	487	339	314	465	336	258
"Ddx42"	203	211	391	253	329	314
"Ddx43"	0	0	0	0	0	9
"Ddx46"	159	149	572	180	190	434
"Ddx47"	275	244	145	217	219	143
"Ddx49"	236	202	152	292	185	96
"Ddx5"	5046	6261	11418	6087	7856	12637
"Ddx50"	791	838	1170	718	957	998
"Ddx51"	72	14	30	53	22	31
"Ddx52"	63	43	65	45	32	109
"Ddx54"	487	203	4	437	189	1
"Ddx55"	117	102	228	159	118	187
"Ddx56"	138	154	161	105	143	94
"Ddx58"	72	127	118	138	101	176
"Ddx59"	109	195	128	115	210	101
"Ddx6"	5	3	2	4	12	11
"Ddx60"	12	7	25	17	7	53
"Deaf1"	531	485	523	541	605	366
"Dear1"	8	5	6	9	10	5
"Deb1"	208	211	64	142	182	75
"Decr1"	135	171	173	171	177	113
"Decr2"	53	141	84	80	131	63
"Dedd"	359	289	318	305	307	202
"Dedd2"	96	43	3	99	63	1
"Def6"	87	50	7	60	39	5
"Def8"	473	662	309	390	673	427
"Defa17"	0	0	0	0	0	0
"Defa2"	0	0	0	0	0	0
"Defa20"	0	0	0	0	0	0
"Defa21"	0	0	0	0	0	0
"Defa22"	0	0	0	0	0	0
"Defa23"	0	0	0	0	0	0
"Defa24"	0	0	0	0	0	0
"Defa25"	0	0	0	0	0	0
"Defa26"	0	0	0	0	0	0
"Defa3"	0	0	0	0	0	0
"Defa4"	0	0	0	0	0	0
"Defa5"	0	0	0	0	0	0
"Defa6"	0	0	0	0	0	0
"Defa-ps1"	0	0	0	0	0	0
"Defa-ps12"	0	0	0	0	0	0
"Defa-ps13"	0	0	0	0	0	0
"Defa-rs1"	0	0	0	0	0	0
"Defa-rs7"	0	0	0	0	0	0
"Defb10"	0	4	0	0	0	0
"Defb1"	6	0	3	3	4	6
"Defb11"	0	0	0	0	0	0
"Defb12"	0	0	0	0	0	0
"Defb13"	0	0	0	0	0	0
"Defb14"	0	0	0	1	1	0
"Defb15"	0	0	0	0	0	0
"Defb18"	0	0	0	0	0	0
"Defb19"	0	0	0	0	0	0
"Defb2"	0	0	0	0	0	0
"Defb20"	0	0	1	0	0	0
"Defb21"	0	0	0	0	0	0
"Defb22"	0	0	0	0	0	0
"Defb23"	0	0	0	0	0	0
"Defb25"	2	1	3	1	1	3
"Defb26"	0	0	0	0	0	0
"Defb28"	0	0	0	0	0	0
"Defb29"	0	1	0	0	0	0
"Defb3"	0	0	0	0	0	0
"Defb30"	0	0	0	0	1	0
"Defb33"	0	0	0	0	0	0
"Defb34"	0	0	0	0	0	0
"Defb35"	0	0	0	0	0	0
"Defb36"	0	0	0	0	0	0
"Defb37"	0	0	0	0	0	0
"Defb38"	0	0	0	0	0	0
"Defb39"	0	0	0	0	0	0
"Defb4"	0	0	0	1	0	0
"Defb40"	0	0	0	0	0	0
"Defb41"	0	0	0	0	0	0
"Defb42"	0	0	0	0	0	0
"Defb43"	0	0	0	0	0	1
"Defb44-ps"	0	0	0	0	0	0
"Defb45"	0	1	2	0	0	2
"Defb46"	0	0	0	0	0	0
"Defb47"	0	0	0	0	0	1
"Defb48"	0	0	0	0	0	0
"Defb5"	0	0	0	0	0	0
"Defb50"	0	0	0	0	0	0
"Defb6"	0	0	0	0	0	0
"Defb7"	0	0	0	0	0	0
"Defb8"	0	0	0	0	0	0
"Defb9"	0	0	0	0	0	0
"Degs1"	318	202	298	334	327	306
"Degs2"	2	7	1	0	2	23
"Dek"	61	118	104	45	161	211
"Dennd1a"	60	19	6	47	28	10
"Dennd1b"	0	1	1	0	0	3
"Dennd1c"	138	194	129	163	132	98
"Dennd2a"	98	61	170	139	92	95
"Dennd2c"	5	0	1	0	0	1
"Dennd2d"	465	455	476	358	459	553
"Dennd3"	29	14	34	41	14	32
"Dennd4a"	51	80	74	65	137	122
"Dennd4b"	94	49	83	79	49	63
"Dennd4c"	48	22	50	55	44	42
"Dennd5a"	665	614	597	869	851	737
"Dennd5b"	12	14	16	6	9	4
"Dennd6a"	18	21	32	28	24	32
"Dennd6b"	65	65	110	42	49	110
"Denr"	462	549	103	392	510	116
"Depdc1a"	0	24	0	10	18	48
"Depdc1b"	0	3	7	1	0	2
"Depdc5"	66	25	61	97	61	44
"Depdc7"	118	136	144	151	168	148
"Deptor"	32	4	10	8	8	15
"Dera"	163	125	76	133	163	103
"Derl1"	163	53	57	112	71	28
"Derl2"	107	78	68	69	80	75
"Derl3"	216	33	37	69	62	37
"Des"	3	4	6	0	5	0
"Desi1"	54	46	28	21	34	18
"Desi2"	8	14	7	9	3	2
"Det1"	173	218	142	180	296	84
"Dexi"	47	37	4	40	63	8
"Dffa"	32	24	18	32	12	11
"Dffb"	19	16	29	25	10	21
